p,Scenario,Method,Mean,SD
1000,Scenario 1,RF,44.4,6.829348431585549
1000,Scenario 1,ET,44.8,4.308131845707603
1000,Scenario 1,RLT-naive,41.1,8.5258430668175
1000,Scenario 1,"RLT (None, k=1)",47.4,5.219195340279957
1000,Scenario 1,"RLT (None, k=2)",38.9,6.472248450113762
1000,Scenario 1,"RLT (None, k=5)",39.0,4.049691346263319
1000,Scenario 1,"RLT (Moderate, k=1)",40.9,5.18555686498567
1000,Scenario 1,"RLT (Moderate, k=2)",43.0,6.511528238439881
1000,Scenario 1,"RLT (Moderate, k=5)",43.4,6.151422599691879
1000,Scenario 1,"RLT (Aggressive, k=1)",41.6,4.498888751680796
1000,Scenario 1,"RLT (Aggressive, k=2)",39.4,5.986651818838307
1000,Scenario 1,"RLT (Aggressive, k=5)",38.0,7.861297602813418
1000,Scenario 2,RF,14.89903871495029,2.3529465010027617
1000,Scenario 2,ET,11.893768463417498,2.481651475703253
1000,Scenario 2,RLT-naive,13.441140798169949,1.9087768770658458
1000,Scenario 2,"RLT (None, k=1)",13.325706863362779,1.7418668205172485
1000,Scenario 2,"RLT (None, k=2)",12.548499660026234,2.38093448444313
1000,Scenario 2,"RLT (None, k=5)",11.363183557476074,1.0967143616385535
1000,Scenario 2,"RLT (Moderate, k=1)",14.111651466137767,1.9495510227465487
1000,Scenario 2,"RLT (Moderate, k=2)",12.72315865618667,2.2055183096350093
1000,Scenario 2,"RLT (Moderate, k=5)",13.139289017273445,3.0430633522786312
1000,Scenario 2,"RLT (Aggressive, k=1)",11.250021985713582,2.6327938293085604
1000,Scenario 2,"RLT (Aggressive, k=2)",11.672851007163311,2.563635059289312
1000,Scenario 2,"RLT (Aggressive, k=5)",12.399506113771427,2.586597752435699
1000,Scenario 3,RF,9.230549451824857,0.9830436882267028
1000,Scenario 3,ET,8.827744795800992,0.8600500336318544
1000,Scenario 3,RLT-naive,9.55293798407334,1.152744112254188
1000,Scenario 3,"RLT (None, k=1)",8.924283758199472,0.8604237674107407
1000,Scenario 3,"RLT (None, k=2)",9.573969155895139,1.1602202790583593
1000,Scenario 3,"RLT (None, k=5)",9.301569601218889,0.943981671058931
1000,Scenario 3,"RLT (Moderate, k=1)",9.26566350735662,0.6644849973174584
1000,Scenario 3,"RLT (Moderate, k=2)",9.835640531218832,1.4664116986911
1000,Scenario 3,"RLT (Moderate, k=5)",9.308317456621577,1.7220055926536444
1000,Scenario 3,"RLT (Aggressive, k=1)",10.014940851830044,1.047558250602076
1000,Scenario 3,"RLT (Aggressive, k=2)",9.139228023745797,0.8910104962666398
1000,Scenario 3,"RLT (Aggressive, k=5)",8.986433407017044,0.5157946146340292
1000,Scenario 4,RF,25.34314392648105,3.3278183894323923
1000,Scenario 4,ET,24.020482761350575,2.321750084357769
1000,Scenario 4,RLT-naive,16.52728585053283,2.330439091638557
1000,Scenario 4,"RLT (None, k=1)",18.146376633783465,3.645939716381836
1000,Scenario 4,"RLT (None, k=2)",17.079343903147304,2.7730551309767795
1000,Scenario 4,"RLT (None, k=5)",17.89892900861161,2.7135943432794845
1000,Scenario 4,"RLT (Moderate, k=1)",17.82627480139704,3.7507103223666878
1000,Scenario 4,"RLT (Moderate, k=2)",16.373140173728068,2.1371914344647402
1000,Scenario 4,"RLT (Moderate, k=5)",18.617585565075945,2.9556349899547074
1000,Scenario 4,"RLT (Aggressive, k=1)",16.13577197273058,2.9915586011189497
1000,Scenario 4,"RLT (Aggressive, k=2)",17.698422843502595,2.0737175789815168
1000,Scenario 4,"RLT (Aggressive, k=5)",16.85436656844208,2.3605402791192645
